wdid,mass,age
SDSS J113133.44+272659.1,0.233,
SDSS J113134.52+571550.2,0.58,1.235
SDSS J113134.58+542519.7,0.61,1.426
SDSS J113135.07+414314.5,0.4629999999999999,
SDSS J113135.34+110705.6,0.664,
SDSS J113135.76+592031.0,0.495,0.5494
SDSS J113136.34+234912.8,0.923,3.189
SDSS J113136.71+242122.6,0.698,
SDSS J113138.22-024939.7,0.32,0.3591
SDSS J113139.82+053957.4,0.552,0.7429
SDSS J113140.61+095122.3,0.468,0.5218
SDSS J113142.78+133004.3,0.905,
SDSS J113144.66+630320.0,0.55,0.0041
SDSS J113146.45+231542.4,,0.0
SDSS J113149.38+575436.0,1.07,0.7413
SDSS J113151.33+204735.1,0.4,0.0006
SDSS J113151.72+360130.7,0.635,0.1428
SDSS J113151.97+455637.8,0.15119,
SDSS J113153.32+003147.1,0.66,0.0006
SDSS J113153.32+481852.2,0.666,0.1035
SDSS J113155.69-073734.2,0.614,0.3212
SDSS J113155.92+645703.7,0.744,
SDSS J113156.19+534654.1,0.986,1.641
SDSS J113156.74+431652.5,1.221,
SDSS J113158.06+505441.2,0.396,0.0241
SDSS J113158.44+321313.6,0.272,
SDSS J113158.48-012955.8,0.391,0.1082
SDSS J113201.78+363632.3,,
SDSS J113205.62+363414.7,0.553,0.79
SDSS J113208.77+470523.3,0.2328,0.627
SDSS J113209.42-082247.7,0.674,
SDSS J113209.59+332353.0,,0.0
SDSS J113211.22+280656.4,0.517,
SDSS J113213.55-030256.2,0.466,0.4413
SDSS J113213.56+202518.5,0.654,0.1034
SDSS J113213.74+180141.6,0.733,0.1182
SDSS J113213.87+144834.4,0.739,
SDSS J113214.23+614131.6,,
SDSS J113215.03+013754.9,,
SDSS J113216.52-075605.7,0.696,
SDSS J113218.41+075103.0,,
SDSS J113219.73-075441.9,0.47,0.0044
SDSS J113223.31+053916.5,0.576,0.1881
SDSS J113223.56+064008.7,0.4306790864686458,0.09487
SDSS J113223.70+225313.2,,
SDSS J113224.85+590406.9,,
SDSS J113227.00+453619.1,0.54,
SDSS J113228.36+284933.1,0.373,0.6505
SDSS J113228.88+515036.5,0.696,0.9557
SDSS J113230.75+472101.0,,
SDSS J113231.60+420712.1,0.519,0.9697
SDSS J113232.76+354105.1,0.47,0.04047
SDSS J113233.21+625856.9,0.508,0.683
SDSS J113233.84+232857.2,0.539,1.18
SDSS J113238.95+100207.9,,0.0
SDSS J113244.29+434044.8,0.58,1.002
SDSS J113244.43+370545.1,0.355,0.1068
SDSS J113244.93+461340.3,0.249,0.8031
SDSS J113245.77+155626.7,,
SDSS J113247.93+524503.6,,
SDSS J113249.68-020913.7,1.007,0.9277
SDSS J113250.16+312853.7,0.854,
SDSS J113250.30+295949.7,0.532,0.3843
SDSS J113251.95+223356.4,0.522,0.05219
SDSS J113254.32+460714.3,0.66,0.19
SDSS J113255.96+310600.7,0.369,
SDSS J113256.01-010622.7,0.582,1.22
SDSS J113257.09+360752.7,0.8,1.108
SDSS J113257.32+382544.9,0.986,
SDSS J113300.00+455142.7,0.632,1.366
SDSS J113300.18+061037.9,0.6111,0.559
SDSS J113300.58+190056.4,0.3847,0.76
SDSS J113300.82-014948.8,0.422,
SDSS J113302.03+181628.9,0.148,
SDSS J113304.33+345633.9,0.311,0.1451
SDSS J113307.61-005616.3,,
SDSS J113308.70+094906.3,1.197,
SDSS J113310.59+503237.1,0.154,
SDSS J113311.34+253132.7,0.747,2.298
SDSS J113312.06+233212.7,0.141,
SDSS J113315.18+212246.6,0.664,2.149
SDSS J113316.57+035652.6,0.558,0.2445
SDSS J113316.88+001955.2,1.138,
SDSS J113317.49+400154.3,,
SDSS J113319.76+180443.4,0.2343,0.582
SDSS J113323.55+091456.9,0.246,0.5071
SDSS J113324.35+440336.9,0.589,0.1734
SDSS J113326.97-062426.3,,
SDSS J113327.13+285908.4,0.557,
SDSS J113327.27+174252.8,0.218,0.3657
SDSS J113327.38+052025.4,0.15257,
SDSS J113327.45+381621.8,0.465,0.3354
SDSS J113327.58+471137.1,1.25,0.6173
SDSS J113330.62+542342.9,0.664,0.1659
SDSS J113332.67+005247.5,0.15036,
SDSS J113332.86+251318.0,0.638,
SDSS J113333.11+550911.2,0.524,0.1066
SDSS J113333.57+283224.7,0.667,1.644
SDSS J113336.96+020255.7,,
SDSS J113337.12+274709.0,0.192,
SDSS J113341.09-012114.2,,
SDSS J113344.97+565329.7,0.551,0.4944
SDSS J113346.02+654928.6,0.606,1.223
SDSS J113349.71+251834.8,0.492,
SDSS J113359.11+465203.9,,
SDSS J113359.23+092442.1,0.608,1.246
SDSS J113359.35+464941.3,0.648,0.07238
SDSS J113408.45+592846.1,0.6255,1.1
SDSS J113409.06+182238.7,1.050695469796643,3.377
SDSS J113409.58+595233.8,0.664,1.524
SDSS J113410.85+154245.9,,0.0
SDSS J113412.74+475946.4,0.658,0.1326
SDSS J113412.76+211514.5,,
SDSS J113415.32+361323.0,0.7,0.17
SDSS J113416.09+055227.2,0.252,0.1702
SDSS J113417.49+001917.3,0.79,
SDSS J113419.28+312700.8,0.329,0.9615
SDSS J113420.55+595754.0,,
SDSS J113423.48+570353.0,0.633,0.5893
SDSS J113425.15+644305.1,0.595,0.2045
SDSS J113426.79+123652.5,0.8096,3.26
SDSS J113427.67+165838.3,,
SDSS J113428.34+532037.2,0.634,0.9375
SDSS J113431.17+523534.0,0.56,0.0071
SDSS J113431.97-031529.0,1.24,1.287
SDSS J113433.60+201143.6,0.562,
SDSS J113434.69+550915.4,0.39,0.03794
SDSS J113434.71+232656.2,0.971,
SDSS J113435.85+073817.9,0.0409999999999999,
SDSS J113439.26+343314.2,0.44,
SDSS J113440.84+451553.0,,
SDSS J113442.68+534703.5,,
SDSS J113444.31+511337.3,0.422,0.04905
SDSS J113451.37+552005.3,0.15097,
SDSS J113451.73+004313.4,0.525,
SDSS J113454.16+570700.2,0.325,
SDSS J113455.19+470248.7,0.495,
SDSS J113458.63+085817.1,0.548,1.217
SDSS J113500.53+291206.6,0.9025615956190662,0.1932
SDSS J113502.11+612506.2,0.588,
SDSS J113502.35+090108.0,0.2789999999999999,
SDSS J113503.19+344610.3,,
SDSS J113503.22+592327.6,,
SDSS J113504.35-005805.9,0.648,1.898
SDSS J113507.62+385451.0,0.583,0.4062
SDSS J113508.23+263014.2,,
SDSS J113509.15+593856.6,0.371,
SDSS J113510.05+544359.6,0.653,0.1862
SDSS J113511.29+641318.6,0.55,
SDSS J113513.29+594531.2,0.904,0.189
SDSS J113513.99+011140.2,0.626,1.93
SDSS J113521.16-011928.7,0.3879999999999999,
SDSS J113521.30+585637.8,,
SDSS J113527.58+151612.7,0.42,
SDSS J113527.68-000844.4,0.678,0.1112
SDSS J113529.60+425339.8,0.697,0.2661
SDSS J113533.22+005951.1,1.168,
SDSS J113536.42-001252.1,0.644,
SDSS J113538.23+461136.1,0.244,0.4948
SDSS J113539.80+611110.1,0.445,
SDSS J113540.95+491809.9,0.231,0.5547
SDSS J113542.22+584927.5,0.574,1.013
SDSS J113543.17+531020.5,0.642,1.347
SDSS J113544.29+104546.8,,
SDSS J113548.29+061759.0,0.529,
SDSS J113549.32+313745.0,1.027751518719848,0.5904
SDSS J113550.39-001726.2,0.268,
SDSS J113550.83+554526.7,,
SDSS J113556.28+251414.0,1.019,2.97
SDSS J113556.95+360640.1,0.69,
SDSS J113558.03+104631.4,0.14527,
SDSS J113600.68+001212.4,,
SDSS J113602.20+445501.7,0.506,0.7803
SDSS J113602.51+412031.2,,
SDSS J113602.86+415147.0,0.342,0.05542
SDSS J113603.02+052821.8,0.669,
SDSS J113608.52+584615.9,0.598,1.312
SDSS J113611.51+213246.4,0.51,0.005
SDSS J113612.16+470206.8,0.55,0.06163
SDSS J113612.35+321437.1,0.5,
SDSS J113613.56+680641.2,0.745,0.2292
SDSS J113617.34+092528.2,0.841,
SDSS J113617.94+141812.3,0.524,0.6327
SDSS J113618.21+632755.8,0.138,
SDSS J113621.23+495359.2,0.592,1.168
SDSS J113627.04+220910.4,0.58,0.0035
SDSS J113627.45+083837.5,0.631,2.06
SDSS J113628.97+562840.0,0.43,0.6423
SDSS J113630.25+023716.7,,
SDSS J113631.50+591229.8,0.51,0.0005
SDSS J113631.59+010059.8,0.15054,
SDSS J113632.32+451318.1,0.521,0.1821
SDSS J113632.72+313654.6,0.655,
SDSS J113634.33+510140.8,0.849,3.752
SDSS J113634.50+543403.6,0.201,
SDSS J113637.74+073337.7,,
SDSS J113638.38+131249.7,0.647,0.833
SDSS J113642.27+284757.0,0.43,0.5321
SDSS J113643.40+475847.4,0.65,0.0016
SDSS J113647.62+473157.0,0.72,
SDSS J113652.33+591459.1,0.375,0.8279
SDSS J113654.53+164920.8,0.803,2.329
SDSS J113657.21+185220.9,0.862,1.265
SDSS J113659.55+212300.1,0.246,0.116
SDSS J113701.35+192606.9,0.621,
SDSS J113703.43+611631.3,0.585,1.584
SDSS J113705.25+592309.6,0.879,1.651
SDSS J113705.46+392336.6,0.38,
SDSS J113705.76+545030.0,,
SDSS J113706.14+064145.0,0.15106,
SDSS J113708.13-015923.6,0.154,0.5754
SDSS J113708.70+661717.6,0.457,
SDSS J113709.16+011032.8,0.616,0.8622
SDSS J113710.76-032842.8,0.23,0.09274
SDSS J113713.24+512620.0,0.346,0.1943
SDSS J113715.45+525632.5,,
SDSS J113716.68+405527.3,1.023,0.1682
SDSS J113717.00+145103.6,0.666,0.1753
SDSS J113719.05+622602.2,0.521,0.1341
SDSS J113722.81+195055.9,0.696,
SDSS J113723.44+123105.9,,
SDSS J113724.98+105445.0,0.891,0.3786
SDSS J113725.58+051550.8,,
SDSS J113728.14+063748.4,0.417,0.1192
SDSS J113728.39+442819.3,,
SDSS J113729.83+003321.5,0.927,2.872
SDSS J113733.36+184015.7,0.591,
SDSS J113734.93+491041.9,,
SDSS J113736.35+380542.0,0.285,0.1055
SDSS J113736.89-052316.6,0.64,
SDSS J113738.45+285259.7,0.522,0.3551
SDSS J113739.44+415139.6,,
SDSS J113743.20+134710.8,0.69,2.26
SDSS J113745.42+583435.0,0.345,0.1574
SDSS J113747.13+041230.7,0.616,0.01877
SDSS J113747.78+354421.7,0.652,0.1647
SDSS J113748.72+613945.0,0.181,
SDSS J113749.20+160355.4,0.546,0.07534
SDSS J113750.67+422702.8,0.083,
SDSS J113752.38+245148.1,0.374,0.94
SDSS J113754.37+314706.3,0.55,
SDSS J113754.91+325429.8,0.2888273590409248,
SDSS J113755.18+573020.9,1.359,
SDSS J113756.16+083818.1,0.733,
SDSS J113757.63+350502.1,0.618,0.2482
SDSS J113759.05+315534.6,0.49,
SDSS J113759.99+301218.7,0.705,
SDSS J113801.03+000212.2,0.15134,
SDSS J113802.02+072453.2,0.17,
SDSS J113804.16+305310.6,1.198,
SDSS J113807.73+301809.4,0.631,0.7166
SDSS J113811.90+263812.6,0.216,0.4435
SDSS J113811.94+545947.5,0.648,0.184
SDSS J113813.58-024909.9,,
SDSS J113814.48+591722.4,0.599,0.3057
SDSS J113817.42+092117.0,0.529,0.07824
SDSS J113818.90-013044.4,,0.0
SDSS J113823.23+360239.7,0.862,0.4271
SDSS J113824.90+295822.2,,
SDSS J113825.21+273201.7,0.055,
SDSS J113827.33+430908.1,0.485,0.3079
SDSS J113828.04+532442.7,0.253,0.05694
SDSS J113831.00+372405.7,0.657,0.2157
SDSS J113831.75+671414.6,0.3939999999999999,
SDSS J113832.16+235359.2,0.855,
SDSS J113833.13+351825.8,0.38,
SDSS J113834.68+204101.9,0.51,
SDSS J113835.25+002631.0,0.686,
SDSS J113835.44+394033.5,0.497,0.02271
SDSS J113836.32+475510.0,0.5,0.0012
SDSS J113837.86+285342.7,,
SDSS J113838.58+133450.9,,
SDSS J113838.90+132342.6,0.785,2.78
SDSS J113839.21+383038.2,1.382,1.562
SDSS J113841.04+171132.7,0.523,
SDSS J113842.74+235228.2,,
SDSS J113845.29+191952.5,0.452,0.3691
SDSS J113845.37+190557.6,0.178,
SDSS J113845.88+135519.4,0.302,
SDSS J113847.05+171522.8,0.554,0.02547
SDSS J113849.66+020401.7,0.771,2.998
SDSS J113851.42+284833.0,0.966,
SDSS J113852.62+324905.0,0.713,1.559
SDSS J113855.92+064940.6,0.15058,
SDSS J113857.48+085242.2,0.59,0.2915
SDSS J113859.11+515648.8,1.055,0.3625
SDSS J113859.71+082305.8,0.49,0.1015
SDSS J113902.25+485658.6,0.693,1.673
SDSS J113902.88+065716.8,0.057,
SDSS J113903.49+630740.8,0.168,
SDSS J113907.14+303144.5,0.808,1.105
SDSS J113909.41+480749.8,0.642,0.3474
SDSS J113910.91+364046.8,,
SDSS J113912.18+262236.2,0.276,
SDSS J113912.67+623908.9,0.5008,1.21
SDSS J113914.10-003820.7,1.115,0.6137
SDSS J113916.71+045558.3,0.211,
SDSS J113919.18+211934.3,0.57,0.0038
SDSS J113924.16+432914.4,,
SDSS J113925.35+391942.6,,
SDSS J113926.10+150508.3,0.368,
SDSS J113928.03-011022.9,0.955,
SDSS J113928.25-012610.2,0.17127,
SDSS J113928.99+084448.8,0.14603,
SDSS J113933.20+541006.2,0.872,0.9107
SDSS J113934.40+260326.9,0.539,0.2771
SDSS J113934.58+332515.0,0.536,0.01696
SDSS J113938.82+565422.6,0.509,0.1006
SDSS J113939.48+673737.4,0.538,1.66
SDSS J113941.31+265944.1,0.33,
SDSS J113941.89+270710.3,,
SDSS J113942.66+283336.3,0.682,0.895
SDSS J113944.87+622819.3,0.394,0.3377
SDSS J113945.66+295613.3,0.173,
SDSS J113945.98+561614.9,0.503,0.3627
SDSS J113946.74+255759.8,,
SDSS J113947.83+650720.5,0.555,0.2459
SDSS J113948.10+465450.6,0.893,0.6321
SDSS J113949.62+580525.9,1.356,
SDSS J113953.08+093231.1,0.468,0.1518
SDSS J113953.58-013240.8,,0.0
SDSS J113954.81-012134.2,0.18,
SDSS J114001.04+450041.3,0.409,
SDSS J114002.30+211112.5,0.18,
SDSS J114004.37+423553.8,0.15144,
SDSS J114006.22+343842.7,,
SDSS J114006.35+182402.3,0.87,1.15
SDSS J114006.37+611008.2,0.6781568572285318,0.3571
SDSS J114010.15+094030.4,0.59,0.0079
SDSS J114010.17+215109.6,0.43,
SDSS J114010.47+295727.1,0.212,
SDSS J114012.10+301308.8,0.55,0.0069
SDSS J114012.76+343201.7,0.708,0.4294
SDSS J114012.81+232204.7,1.336,1.71
SDSS J114014.57+174015.5,0.239,
SDSS J114016.54+615103.6,0.455,
SDSS J114017.34+593852.1,0.612,1.67
SDSS J114022.71+322200.1,0.802,0.3044
SDSS J114024.01+661842.2,0.81,0.5726
SDSS J114024.21-030201.6,0.1989999999999999,
SDSS J114024.42+065409.1,0.535,0.6966
SDSS J114025.26+560419.1,0.576,1.543
SDSS J114027.07+405744.5,0.256,0.1338
SDSS J114028.25+341710.2,0.729,2.452
SDSS J114030.33+660827.5,,
SDSS J114030.77+392216.6,,
SDSS J114033.35+453644.3,0.611,0.1419
SDSS J114034.30+291933.9,0.524,0.2029
SDSS J114034.81+321117.4,0.297,0.09074
SDSS J114035.43+591329.3,0.706,
SDSS J114036.87+065823.4,0.553,1.248
SDSS J114038.14+472443.8,0.359,
SDSS J114038.37+310332.4,0.416,0.3145
SDSS J114039.35-004949.6,0.528,
SDSS J114039.81+442744.5,0.15083,
SDSS J114039.97+492940.5,0.979,4.073
SDSS J114041.54+511835.9,0.539,1.337
SDSS J114044.04+664514.6,0.885,0.5877
SDSS J114044.55+242552.0,0.884,
SDSS J114045.17+594745.7,,
SDSS J114047.05+065450.0,0.1769099999999999,
SDSS J114048.36+554251.1,0.54,
SDSS J114050.33+382432.8,0.507,0.5359
SDSS J114051.66+663950.1,0.642,0.1227
SDSS J114052.56+124544.5,0.558,2.17
SDSS J114052.62+285031.6,0.614,
SDSS J114053.60+364954.8,0.567,0.02649
SDSS J114054.55-030053.9,0.549,
SDSS J114054.87+532827.4,0.6676,0.808
SDSS J114055.94+301827.9,0.215,
SDSS J114056.78+154014.3,0.5498,1.79
SDSS J114058.59+654222.4,,
SDSS J114059.85+073530.1,0.9448,1.39
SDSS J114100.88+325525.1,0.49,0.0039
SDSS J114102.00+093601.1,0.515,1.055
SDSS J114102.26+481245.9,0.467,
SDSS J114103.24+341107.2,,
SDSS J114105.76+513851.1,,
SDSS J114107.30+194929.2,0.454,0.1202
SDSS J114107.52+432317.1,,
SDSS J114108.15+321630.6,0.44,0.9429
SDSS J114108.78+160436.7,0.36,0.0007
SDSS J114109.26+051034.9,0.7,0.8128
SDSS J114109.30+431525.8,0.802,1.099
SDSS J114113.05+234411.4,,
SDSS J114113.48+451651.2,,
SDSS J114114.33+370748.0,0.796,0.2106
SDSS J114114.81+420135.6,,
SDSS J114116.72+235455.4,0.15157,
SDSS J114123.33+493051.8,0.463,0.7683
SDSS J114123.98+075422.6,0.738,
SDSS J114129.86+091735.5,0.7909999999999999,
SDSS J114132.99+042028.8,0.283,0.2283
SDSS J114133.11+362051.0,0.849,1.118
SDSS J114133.25+511203.2,,
SDSS J114133.41+240657.9,0.515,
SDSS J114135.36+205224.1,0.64,0.08852
SDSS J114136.53+383611.9,0.702,4.5
SDSS J114138.42+605811.9,0.481,
SDSS J114139.14+241240.9,0.522,
SDSS J114139.52+543131.5,0.598,1.609
SDSS J114142.63+185432.4,1.242,
SDSS J114142.73+300325.1,0.476,1.06
SDSS J114142.76+152944.3,0.15048,
SDSS J114143.24+511331.0,0.15039,
SDSS J114144.95+123508.2,0.521,
SDSS J114146.50+134444.3,0.902,
SDSS J114150.12+453539.5,0.273,
SDSS J114150.23+381719.3,0.591,0.6655
SDSS J114151.59+374750.0,0.734,1.123
SDSS J114151.77+395854.7,0.218,1.471
SDSS J114152.02+572001.2,0.309,
SDSS J114153.74+321055.1,,
SDSS J114155.56+385003.0,0.177,0.233
SDSS J114157.58+461726.8,,
SDSS J114159.81+100404.6,0.718,
SDSS J114202.03+385537.4,0.601,0.907
SDSS J114202.03+465726.6,0.514,0.8468
SDSS J114202.49+121805.5,0.228,3.165
SDSS J114203.45+344842.0,,
SDSS J114203.68+380605.1,,
SDSS J114207.79+470736.2,,
SDSS J114208.87+611538.3,0.15088,
SDSS J114209.12+165447.8,0.195,
SDSS J114209.25+332007.1,0.51,
SDSS J114209.56+110438.6,0.6293,0.629
SDSS J114210.96+394542.1,0.712,0.1737
SDSS J114214.75+673919.5,0.247,0.5366
SDSS J114219.20-022919.7,0.481,
SDSS J114220.02+245247.7,0.15087,
SDSS J114221.89+220145.5,0.468,0.117
SDSS J114222.33+374834.0,0.986,4.341
SDSS J114224.71+301153.4,0.594,
SDSS J114225.40+083757.1,0.15113,
SDSS J114227.69+093614.6,0.573,
SDSS J114228.60-023445.2,0.1551,
SDSS J114229.15-012103.5,0.15198,
SDSS J114230.02+283822.7,0.284,
SDSS J114231.72+153845.1,0.658,4.33
SDSS J114232.46+155533.3,0.249,
SDSS J114234.05+192018.3,0.728,0.1641
SDSS J114238.68+572747.2,0.876,0.1687
SDSS J114238.83+494447.9,0.594,1.75
SDSS J114240.02+133426.8,0.201,
SDSS J114240.61+270205.8,,
SDSS J114245.54+173844.9,0.508,0.1548
SDSS J114246.46+205222.1,0.909,0.7515
SDSS J114250.21+001435.0,0.05,
SDSS J114250.49+472110.1,,
SDSS J114251.76+111507.9,,
SDSS J114254.28+252127.0,,
SDSS J114255.54+283017.4,0.201,
SDSS J114256.66+035207.9,0.4238,0.862
SDSS J114300.65+390707.7,0.569,
SDSS J114302.13+581147.7,0.928,2.442
SDSS J114302.40+161555.4,1.068,
SDSS J114303.47+532357.4,0.682,2.214
SDSS J114303.50+670224.8,0.5,0.0065
SDSS J114303.83+361843.8,0.36,0.2728
SDSS J114312.24+643727.2,,
SDSS J114313.07+593929.4,0.764,2.124
SDSS J114314.62+164754.9,0.546,0.04095
SDSS J114315.18+611416.6,0.494,0.6849
SDSS J114315.34+473645.3,,
SDSS J114316.31+605820.4,0.324,0.9061
SDSS J114316.62+435151.3,0.207,0.6113
SDSS J114316.63+173148.2,1.057,0.9338
SDSS J114317.86+240102.5,0.15081,
SDSS J114318.33+145324.3,0.367,0.1576
SDSS J114319.65+532649.2,,
SDSS J114322.57+423637.7,,
SDSS J114326.89+291216.5,0.516,0.2713
SDSS J114328.16+134502.5,0.578,0.2915
SDSS J114331.94+740508.4,0.611,
SDSS J114333.46+661532.0,0.729,4.527
SDSS J114333.68+180930.4,0.43,0.02612
SDSS J114334.03+355438.4,0.522,0.9055
SDSS J114339.16+192855.3,0.6435,1.34
SDSS J114341.50-021215.7,0.353,
SDSS J114342.84+405312.5,0.667,2.13
SDSS J114343.50+511557.7,0.592,0.0923
SDSS J114343.96+490236.9,,
SDSS J114344.82+632209.5,0.633,0.1006
SDSS J114345.38+553208.3,0.878,0.76
SDSS J114345.79+311749.2,0.702,0.8544
SDSS J114346.12+300237.3,0.744,2.058
SDSS J114348.09+483636.8,0.853,0.4277
SDSS J114350.12+272733.2,0.633,
SDSS J114352.74+660723.3,,
SDSS J114356.86+052334.3,-0.106,
SDSS J114400.98+191527.9,0.15061,
SDSS J114402.10+310926.1,0.5,0.0027
SDSS J114402.34+325911.7,0.5616,1.35
SDSS J114402.74+153613.0,,
SDSS J114404.74+052951.6,0.407,0.04877
SDSS J114408.05+372007.8,0.446,1.12
SDSS J114413.20+310853.7,0.258,0.6923
SDSS J114413.41+585721.4,,
SDSS J114414.77+613642.9,0.467,0.4027
SDSS J114416.16+134943.5,0.304,
SDSS J114416.75+365725.3,0.476,0.6742
SDSS J114417.52-012913.8,,
SDSS J114419.42+365746.9,,
SDSS J114422.81+512647.4,0.358,0.5856
SDSS J114427.02+582927.9,0.52,
SDSS J114427.72+305759.5,0.763,0.4369
SDSS J114428.02+470917.8,0.609,0.3953
SDSS J114428.49+143146.3,0.676,0.08428
SDSS J114428.65+142813.6,0.843,1.049
SDSS J114432.12+320949.8,,
SDSS J114432.16+345738.3,0.541,1.602
SDSS J114434.83+550439.3,0.059,
SDSS J114437.16+512752.3,0.724,2.929
SDSS J114438.32+293330.6,0.973,0.0829
SDSS J114438.88+201206.1,0.15088,
SDSS J114440.71+335450.4,0.594,
SDSS J114440.86+454903.2,0.17,
SDSS J114441.65+171716.4,0.8383952621260456,0.1959
SDSS J114441.92+121829.2,0.576,4.82
SDSS J114444.99+351643.4,0.388,0.5488
SDSS J114446.37+254122.3,0.5,0.0065
SDSS J114448.47+365011.1,0.296,0.5555
SDSS J114448.69+525248.4,0.557,0.02318
SDSS J114448.82+282808.0,,
SDSS J114449.41+514208.1,,
SDSS J114450.58+372527.7,0.49,0.0019
SDSS J114451.00+104552.7,,
SDSS J114451.92+640052.8,,
SDSS J114452.45+114222.6,0.56,0.1241
SDSS J114454.09+404608.4,0.63,0.2983
SDSS J114458.12+635705.7,0.577,0.09269
SDSS J114503.48+460518.8,,
SDSS J114503.75+143736.6,0.627,
SDSS J114505.24+321925.2,0.319,
SDSS J114506.71+391711.7,0.747,0.1616
SDSS J114507.60+600805.3,0.386,
SDSS J114511.73+080419.3,0.579,1.426
SDSS J114511.78+062235.6,0.3,0.0001
SDSS J114513.06+321711.9,0.788,0.7322
SDSS J114513.26+274202.9,,
SDSS J114515.84+365250.0,0.583,0.2433
SDSS J114518.83+455825.0,0.217,
SDSS J114521.64-024757.5,0.498,0.4801
SDSS J114524.02+240933.3,0.978,3.962
SDSS J114529.27+300824.4,0.5585802436859861,0.2482
SDSS J114529.70+663138.0,0.201,
SDSS J114529.94+625302.2,0.465,0.8917
SDSS J114531.14+414708.3,0.625,0.2045
SDSS J114533.77+534048.1,0.973,1.716
SDSS J114539.85+371127.1,0.493,0.6253
SDSS J114541.28+223218.0,1.055,3.776
SDSS J114545.75+254833.6,0.261,0.07637
SDSS J114545.77+385303.0,,
SDSS J114546.58+150848.4,0.434,
SDSS J114548.62+383442.1,0.441,0.3459
SDSS J114549.51+084604.8,0.14675,
SDSS J114550.06+545844.0,,
SDSS J114550.54+393059.6,,
SDSS J114551.29+661923.5,0.9919,3.44
SDSS J114551.39+101508.3,0.592,0.05004
SDSS J114552.38+130021.4,0.652,0.08958
SDSS J114552.73+033218.7,0.626,0.2185
SDSS J114556.35+384127.8,0.244,0.31
SDSS J114557.19+074738.6,0.739,0.2715
SDSS J114600.95+111337.2,0.639,1.822
SDSS J114603.45-022637.3,0.15114,
SDSS J114604.93+082934.8,,
SDSS J114607.26+112114.9,0.549,1.022
SDSS J114608.72+240709.6,0.591,1.336
SDSS J114611.08+395730.5,0.727,1.246
SDSS J114611.50+160836.2,,
SDSS J114615.36+395017.2,0.695,
SDSS J114617.52+484625.0,,
SDSS J114618.01+660903.7,0.917,1.318
SDSS J114618.14+483910.1,0.235,0.8038
SDSS J114618.43+311913.4,0.531,
SDSS J114619.27+660626.6,0.519,0.23
SDSS J114621.85+150447.5,0.208,
SDSS J114625.94+395214.4,0.722,
SDSS J114630.91+402508.1,0.256,0.3498
SDSS J114634.22+321941.3,0.177,
SDSS J114635.25+004734.5,0.523,
SDSS J114637.17+543146.4,,
SDSS J114638.21+510721.2,0.574,1.451
SDSS J114639.83+402630.7,0.563,0.1578
SDSS J114645.40+314445.4,0.55,1.074
SDSS J114648.63+570945.8,0.416,0.7978
SDSS J114649.25+432340.8,,
SDSS J114651.16+602151.9,0.86,
SDSS J114653.60+314416.8,0.361,
SDSS J114657.16+001711.6,0.421,
SDSS J114701.01+574114.7,0.461,0.2389
SDSS J114702.03+501258.0,0.721,
SDSS J114703.09+162804.0,0.757,1.99
SDSS J114706.29+290628.2,0.259,
SDSS J114707.37+200145.7,0.565,1.28
SDSS J114709.09+542940.8,,0.0
SDSS J114710.53+415608.6,0.494,0.967
SDSS J114711.21+012806.3,0.15606,
SDSS J114716.43+305518.1,0.081,
SDSS J114719.73-005908.9,0.426,
SDSS J114722.61+171325.2,,
SDSS J114723.20+240735.7,0.56,0.005
SDSS J114727.72+141923.8,0.56,0.0059
SDSS J114728.47+113626.4,0.726,2.609
SDSS J114728.93+520000.7,0.278,0.1115
SDSS J114730.96+270010.2,0.15141,
SDSS J114732.09+235708.5,0.177,
SDSS J114734.57+142658.9,0.51,0.0008
SDSS J114735.92+291503.4,0.051,
SDSS J114736.39+424131.0,,
SDSS J114737.74+555530.8,0.69,
SDSS J114743.63+285121.9,,
SDSS J114745.41+322041.3,0.604,
SDSS J114745.49+464630.6,0.456,1.008
SDSS J114746.67+493435.8,,
SDSS J114751.45+300404.8,,
SDSS J114752.68+400649.8,0.959,0.4256
SDSS J114752.96+603448.4,0.663,0.5085
SDSS J114755.66+475814.3,0.72,0.1813
SDSS J114757.65+370118.5,0.599,1.465
SDSS J114757.99+535944.6,0.627,1.547
SDSS J114759.31+310231.6,1.285,1.363
SDSS J114800.81+432054.8,0.434,1.017
SDSS J114804.13-011819.5,0.534,
SDSS J114804.59+410928.5,0.5075,1.5
SDSS J114806.10+583933.0,0.466,0.2223
SDSS J114811.16+034934.8,0.639,0.2338
SDSS J114812.33+422042.9,,
SDSS J114821.29+033625.7,,
SDSS J114822.49+011834.4,0.1503799999999999,
SDSS J114822.73+585242.4,,
SDSS J114822.75+082510.0,0.4629999999999999,
SDSS J114824.49+551934.5,0.603,0.6929
SDSS J114827.96+153357.0,1.0621924837698016,1.554
SDSS J114829.00+482731.2,1.194045143254163,4.172
SDSS J114830.05+570840.6,0.7348,0.847
SDSS J114831.96+104457.0,0.14877,
SDSS J114832.45+034934.4,0.457,0.1753
SDSS J114832.48+391130.8,0.36,
SDSS J114833.25+303921.3,0.7504269252367967,0.5352
SDSS J114835.55+480800.8,0.341,0.7133
SDSS J114843.74+655715.9,0.443,0.8468
SDSS J114844.60+354155.3,0.612,1.88
SDSS J114846.02+414852.9,0.15107,
