wdid,mass,age
2MASS J10302465+4641103,,
2MASS J10312192+2023144,0.557,0.2722
2MASS J10315247+3628332,,
2MASS J10320984+3722476,0.46,
2MASS J10325845+0121597,,
2MASS J10342616+1516063,0.59,
2MASS J10350120+1042212,0.84,1.2882
2MASS J10351480+3907183,0.7,
2MASS J10374361+6554482,0.35,0.1514
2MASS J10383723+0150585,0.57,0.006
2MASS J10395262+2854220,0.49,
2MASS J10401302+2525599,0.67,
2MASS J10405749+0834217,0.745,0.6918
2MASS J10410382+2019449,0.48,
2MASS J10414255+3919002,0.56,
2MASS J10421910+4429161,0.543,0.0295
2MASS J10431867+3050132,0.49,
2MASS J10434695+4025553,0.51,0.1288
2MASS J10435862+0603210,0.72,0.7244
2MASS J10444792+1943108,0.221,0.531
2MASS J10445935+3605548,1.24,
2MASS J10451775-0018339,0.48,0.0646
2MASS J10470920+3453463,0.281,0.47
2MASS J10480182+6334487,0.552,4.25
2MASS J10494804+3933247,0.47,
2MASS J10495981-0047193,0.28,0.3481
2MASS J10503864+4138349,0.22,0.5528
2MASS J10505170-0012075,,
2MASS J10510024+0341204,,
2MASS J10513336+6634012,0.44,0.038
2MASS J10521649+2625247,0.327,0.2462
2MASS J10531331+3848351,0.39,
2MASS J10534626+2916526,,
2MASS J10540525+2839167,0.755,
2MASS J10541782+1706003,,
2MASS J10542197+5122541,0.725,
2MASS J10543618+1008379,0.59,
2MASS J10561749+5053214,0.385,0.0891
2MASS J10565735+3304161,0.65,
2MASS J10575693+1307037,0.188,
2MASS J10580604+1522258,,
2MASS J10584528+1647147,0.43,
2MASS J10584967+1050279,,
2MASS J10585319+3900183,0.38,
2MASS J11004434+4823036,0.46,1.9055
2MASS J11015131+1222409,0.51,0.0398
2MASS J11023023+2515265,,
2MASS J11030869+3044454,,
2MASS J11051758+3851260,0.71,
2MASS J11052070+2824091,,
2MASS J11052978-1647195,0.58,
2MASS J11060419+0120103,0.76,
2MASS J11061649+4518556,0.859,3.01
2MASS J11062768-0105147,0.41,0.0036
2MASS J11063436+0737122,0.51,0.0045
2MASS J11065290+2842454,0.86,
2MASS J11073810+3800518,0.43,
2MASS J11074705+1542196,,
2MASS J11075016+0505591,0.5,0.0447
2MASS J11075894+2753463,,
2MASS J11075976+2041105,,
2MASS J11083465-1548470,0.51,
2MASS J11084306+3123559,0.63,
2MASS J11084355+1155161,0.55,0.0046
2MASS J11094130+5512289,0.969,4.35
2MASS J11095528+0517207,,
2MASS J11095703+3302459,0.55,
2MASS J11102104+3047384,0.35,0.6114
2MASS J11125121+1907004,0.39,
2MASS J11140089+4518232,0.49,
2MASS J11141929+0838288,0.56,
2MASS J11142462+3341243,0.575,0.9002
2MASS J11142536+3808216,0.604,0.5242
2MASS J11145995+0924110,0.79,
2MASS J11150148-1203220,0.81,
2MASS J11151166+1724072,0.335,0.3792
2MASS J11153001+6643011,0.74,0.6166
2MASS J11153694+0033171,0.331,2.3
2MASS J11154146+3619262,,
2MASS J11161449+5357209,0.254,0.3968
2MASS J11171056-1255409,0.79,
2MASS J11171487+0954152,0.525,
2MASS J11172210-1045562,,
2MASS J11173512+0129404,0.7,1.3804
2MASS J11175129+2904323,,
2MASS J11181020+1313386,0.63,0.0071
2MASS J11182722-4721570,0.619,3.19
2MASS J11191419+3801597,0.54,
2MASS J11193338+3744112,0.39,
2MASS J11195070+1853511,,
2MASS J11201274+1901269,0.76,
2MASS J11201607+6757507,,
2MASS J11204875+3819057,0.52,
2MASS J11214601+1553256,0.552,1.31
2MASS J11214996+2859047,0.73,
2MASS J11230840-1155593,1.26,
2MASS J11235773-0110276,0.51,0.0295
2MASS J11251231+2905453,,
2MASS J11262386+0108568,0.52,
2MASS J11263674+1458298,0.49,
2MASS J11272201+4249339,0.71,
2MASS J11273153+0623050,0.585,0.94
2MASS J11274827-0028592,0.54,0.1862
2MASS J11281264+6717384,,
